2025-10-14 09:12:53 | INFO | 🚀 FT01 資訊管理組系統啟動
2025-10-14 09:12:53 | INFO | ✅ 會話管理系統已啟動
2025-10-14 09:12:55 | INFO | 🚀 FT01 資訊管理組系統啟動
2025-10-14 09:12:55 | INFO | ✅ 會話管理系統已啟動
2025-10-14 09:18:04 | INFO | 🚀 FT01 資訊管理組系統啟動
2025-10-14 09:18:04 | INFO | ✅ 會話管理系統已啟動
2025-10-14 09:18:06 | INFO | 🚀 FT01 資訊管理組系統啟動
2025-10-14 09:18:06 | INFO | ✅ 會話管理系統已啟動
2025-10-14 09:18:55 | INFO | 🚀 FT01 資訊管理組系統啟動
2025-10-14 09:18:55 | INFO | ✅ 會話管理系統已啟動
2025-10-14 09:18:58 | INFO | 🚀 FT01 資訊管理組系統啟動
2025-10-14 09:18:58 | INFO | ✅ 會話管理系統已啟動
2025-10-14 09:19:40 | INFO | 🚀 FT01 資訊管理組系統啟動
2025-10-14 09:19:40 | INFO | ✅ 會話管理系統已啟動
2025-10-14 09:19:41 | INFO | 🚀 FT01 資訊管理組系統啟動
2025-10-14 09:19:41 | INFO | ✅ 會話管理系統已啟動
